food,calories;drink,calories
pecel,496;air putih,0
tempe,34;the tawar,6
tahu,80;teh manis,104
nasi putih,204;susu,120
nasi kuning,630;kopi,5
nasi soto ayam,395,76;jeruk peras,112
nasi soto daging,600;jeruk nipis peras,11
soto ayam,312;energen,130
soto daging,400;temulawak,120
nasi rawon,680;air kelapa,46
nasi campur,680;yakult,50
ayam geprek,263;teh tarik,140
ayam goreng,246;
bakso,450-500;
siomay,41;
batagor,58;
sate ayam,34;
sate kambing,32;
gulai kambing,301;
lodeh,160;
bayam,37;
nasi goreng,455;
mie ayam,421;
indomie goreng,380;
indomie kuah,300;
cakwe,190;
roti goreng,112;
kari ayam,349;
es krim,207;
